level,path_id,seg_id,pt_idx,lon_deg,lat_deg
1.0,1,0,0,49.99999999999999,4.988105585441675
1.0,1,0,1,49.65186421099915,5.0
1.0,1,0,2,45.84239113172188,10.0
1.0,1,0,3,45.30034106504695,15.0
1.0,1,0,4,50.0,16.18135662923529
1.0,1,0,5,60.0,17.3791924382652
1.0,1,0,6,68.32903780068729,20.0
1.0,1,0,7,70.0,20.43949957287332
1.0,1,0,8,80.0,21.954138163271253
1.0,1,0,9,90.0,22.751088028084354
1.0,1,0,10,100.00000000000001,23.459393328775505
1.0,1,0,11,110.0,22.73524158089338
1.0,1,0,12,120.0,21.23356175355248
1.0,1,0,13,126.4668143164493,20.0
1.0,1,0,14,130.0,18.912188615182085
1.0,1,0,15,140.0,15.762025431014981
1.0,1,0,16,141.63544544198896,15.0
1.0,1,0,17,145.88020221020463,10.0
1.0,1,0,18,147.14636333173328,5.0
1.0,1,0,19,140.0,4.862517736724289
1.0,1,0,20,130.0,4.4115913187303155
1.0,1,0,21,120.0,4.212781472374662
1.0,1,0,22,110.0,4.138700167099849
1.0,1,0,23,100.0,3.9233538837062936
1.0,1,0,24,90.0,4.015660883895159
1.0,1,0,25,80.0,4.145157365334342
1.0,1,0,26,70.0,4.226275232431527
1.0,1,0,27,60.0,4.73536443682801
1.0,1,0,28,50.0,4.988105585441675
2.0,1,0,0,170.0,-27.004924810615222
2.0,1,0,1,160.0,-25.819604644167924
2.0,1,0,2,151.38596134869974,-24.999999999999996
2.0,1,0,3,150.0,-24.805067237089382
2.0,1,0,4,140.0,-23.958120841921673
2.0,1,0,5,130.0,-23.58584700812242
2.0,1,0,6,120.0,-23.374628982401394
2.0,1,0,7,109.99999999999999,-23.122268609467138
2.0,1,0,8,100.0,-23.020443354747815
2.0,1,0,9,90.0,-23.344709057975574
2.0,1,0,10,80.0,-23.40349913929487
2.0,1,0,11,70.0,-23.63271581491181
2.0,1,0,12,60.0,-23.660771103875582
2.0,1,0,13,50.0,-23.543459353919673
2.0,1,0,14,40.0,-22.67798989516647
2.0,1,0,15,30.0,-22.05466517734149
2.0,1,0,16,20.0,-20.98623883570901
2.0,1,0,17,10.0,-20.093649693477072
2.0,1,0,18,9.051975847080554,-20.0
2.0,1,0,19,0.0,-18.90711251074999
2.0,1,0,20,-10.0,-19.116564246069743
2.0,1,0,21,-15.93535290443473,-20.0
2.0,1,0,22,-20.0,-20.62443958499703
2.0,1,0,23,-30.0,-23.451718770034834
2.0,1,0,24,-34.26984450537688,-25.0
2.0,1,0,25,-40.0,-27.110348498114604
2.0,1,0,26,-46.726225520284004,-30.0
2.0,1,0,27,-50.0,-31.484405084974878
2.0,1,0,28,-60.0,-34.857700940180116
2.0,1,0,29,-60.3456683986709,-35.0
2.0,1,0,30,-70.0,-39.64290762061259
2.0,1,0,31,-71.2335081663522,-40.0
2.0,1,0,32,-80.0,-42.284978702578826
2.0,1,0,33,-90.0,-43.34900283068174
2.0,1,0,34,-100.0,-42.44008150164591
2.0,1,0,35,-110.0,-41.03769026102292
2.0,1,0,36,-113.841175310777,-40.0
2.0,1,0,37,-120.0,-38.13953496716267
2.0,1,0,38,-130.0,-35.53847557157087
2.0,1,0,39,-132.58097011586335,-35.0
2.0,1,0,40,-140.0,-33.401486422266736
2.0,1,0,41,-150.0,-31.602366406394637
2.0,1,0,42,-160.0,-30.593004127302514
2.0,1,0,43,-165.3028504097649,-30.0
2.0,1,0,44,-169.99999999999997,-29.409256085395985
2.0,1,0,45,-179.99999,-27.912707339294776
2.0,2,0,0,-179.99998999999997,46.02031569211087
2.0,2,0,1,-174.80812102349995,45.0
2.0,2,0,2,-169.99999999999997,44.090922636941166
2.0,2,0,3,-160.0,42.747568126257974
2.0,2,0,4,-150.0,40.63870939283204
2.0,2,0,5,-146.7292629210005,40.0
2.0,2,0,6,-140.0,38.776170243520205
2.0,2,0,7,-130.0,36.253024427243815
2.0,2,0,8,-123.94197339427079,35.0
2.0,2,0,9,-120.0,34.188741752751824
2.0,2,0,10,-110.0,31.327759946256624
2.0,2,0,11,-105.74434052931551,30.0
2.0,2,0,12,-100.0,28.560214393504324
2.0,2,0,13,-90.0,26.992636757255845
2.0,2,0,14,-80.0,26.562567012638816
2.0,2,0,15,-70.0,28.27980646411965
2.0,2,0,16,-65.52790262116876,30.0
2.0,2,0,17,-60.0,32.05992587134249
2.0,2,0,18,-51.89334592601562,35.0
2.0,2,0,19,-50.0,35.62777492925547
2.0,2,0,20,-40.0,38.66010816440843
2.0,2,0,21,-34.27670511361734,40.0
2.0,2,0,22,-30.0,41.09335600961079
2.0,2,0,23,-20.0,42.471170831601135
2.0,2,0,24,-10.0,43.66188938816691
2.0,2,0,25,0.0,44.229927234955426
2.0,2,0,26,10.0,44.33727178845983
2.0,2,0,27,20.0,44.458566631809774
2.0,2,0,28,30.000000000000004,44.78756577792368
2.0,2,0,29,39.99999999999999,44.86299647286365
2.0,2,0,30,47.28717228951164,45.0
2.0,2,0,31,50.0,45.05877788110544
2.0,2,0,32,60.0,45.30750361068756
2.0,2,0,33,70.0,45.93259072593356
2.0,2,0,34,80.0,46.186975854653056
2.0,2,0,35,90.0,46.58636103148139
2.0,2,0,36,100.0,46.89935574417942
2.0,2,0,37,110.0,47.21136000597356
2.0,2,0,38,120.0,47.726138272601276
2.0,2,0,39,130.0,48.162641463466876
2.0,2,0,40,140.0,48.58791839385084
2.0,2,0,41,150.0,48.4145018110472
2.0,2,0,42,160.0,47.96799891446713
2.0,2,0,43,170.0,47.216650628328296
