lat_deg,lon_deg,dose_pred_uSvph
-55.0,-170.0,3.4442637
-55.0,-160.0,3.4065585
-55.0,-150.0,3.365298
-55.0,-140.0,3.3075738
-55.0,-130.0,3.2397852
-55.0,-120.0,3.089187
-55.0,-110.0,2.9430256
-55.0,-100.0,2.8064222
-55.0,-90.0,2.7458959
-55.0,-80.0,2.721324
-55.0,-70.0,2.7518187
-55.0,-60.0,2.8197162
-55.0,-50.0,2.9358869
-55.0,-40.0,3.0935955
-55.0,-30.0,3.1891785
-55.0,-20.0,3.2722142
-55.0,-10.0,3.360853
-55.0,0.0,3.418509
-55.0,10.0,3.4108222
-55.0,20.0,3.4325416
-55.0,30.0,3.4422007
-55.0,40.0,3.4584782
-55.0,50.0,3.4640388
-55.0,60.0,3.454225
-55.0,70.0,3.474955
-55.0,80.0,3.468279
-55.0,90.0,3.4543986
-55.0,100.0,3.4486098
-55.0,110.0,3.4636955
-55.0,120.0,3.4724784
-55.0,130.0,3.459094
-55.0,140.0,3.4632077
-55.0,150.0,3.4492717
-55.0,160.0,3.4433272
-55.0,170.0,3.4539044
-50.0,-179.99999,3.4095888
-50.0,-170.0,3.34841
-50.0,-160.0,3.2734375
-50.0,-150.0,3.1921198
-50.0,-140.0,3.1119554
-50.0,-130.0,2.9549022
-50.0,-120.0,2.7701218
-50.0,-110.0,2.5938482
-50.0,-100.0,2.473106
-50.0,-90.0,2.3655417
-50.0,-80.0,2.3562763
-50.0,-70.0,2.4167016
-50.0,-60.0,2.5154023
-50.0,-50.0,2.6706483
-50.0,-40.0,2.8677125
-50.0,-30.0,3.0267985
-50.0,-20.0,3.1519477
-50.0,-10.0,3.2428045
-50.0,0.0,3.3031805
-50.0,10.0,3.378505
-50.0,20.0,3.3745987
-50.0,30.0,3.3911278
-50.0,40.0,3.4088976
-50.0,50.0,3.4276419
-50.0,60.0,3.429068
-50.0,70.0,3.4587183
-50.0,80.0,3.4525735
-50.0,90.0,3.4522736
-50.0,100.0,3.460218
-50.0,110.0,3.4574938
-50.0,120.0,3.4860165
-50.0,130.0,3.461883
-50.0,140.0,3.4554513
-50.0,150.0,3.4293137
-50.0,160.0,3.4671254
-50.0,170.0,3.4474134
-45.0,-179.99999,3.234932
-45.0,-170.0,3.1336093
-45.0,-160.0,3.0115218
-45.0,-150.0,2.8761742
-45.0,-140.0,2.7482157
-45.0,-130.0,2.5931976
-45.0,-120.0,2.4302511
-45.0,-110.0,2.2469714
-45.0,-100.0,2.1402116
-45.0,-90.0,2.056482
-45.0,-80.0,2.0913148
-45.0,-70.0,2.1890833
-45.0,-60.0,2.2938192
-45.0,-50.0,2.4385138
-45.0,-40.0,2.6190755
-45.0,-30.0,2.8308573
-45.0,-20.0,2.9842505
-45.0,-10.0,3.0483282
-45.0,0.0,3.1409693
-45.0,10.0,3.2274537
-45.0,20.0,3.2495408
-45.0,30.0,3.2755756
-45.0,40.0,3.300302
-45.0,50.0,3.3037012
-45.0,60.0,3.3596244
-45.0,70.0,3.414587
-45.0,80.0,3.4137356
-45.0,90.0,3.4453208
-45.0,100.0,3.475726
-45.0,110.0,3.4662383
-45.0,120.0,3.449208
-45.0,130.0,3.4316945
-45.0,140.0,3.442342
-45.0,150.0,3.4193048
-45.0,160.0,3.4084673
-45.0,170.0,3.3410947
-40.0,-179.99999,2.9120867
-40.0,-170.0,2.797729
-40.0,-160.0,2.6607053
-40.0,-150.0,2.5177834
-40.0,-140.0,2.3970861
-40.0,-130.0,2.2509189
-40.0,-120.0,2.103705
-40.0,-110.0,1.9353206
-40.0,-100.0,1.8663521
-40.0,-90.0,1.8854278
-40.0,-80.0,1.9231489
-40.0,-70.0,2.0108135
-40.0,-60.0,2.1575494
-40.0,-50.0,2.2787704
-40.0,-40.0,2.438754
-40.0,-30.0,2.6238503
-40.0,-20.0,2.7633522
-40.0,-10.0,2.8776262
-40.0,0.0,2.9500775
-40.0,10.0,3.0522738
-40.0,20.0,3.062219
-40.0,30.0,3.104573
-40.0,40.0,3.1288161
-40.0,50.0,3.1333733
-40.0,60.0,3.1943014
-40.0,70.0,3.25196
-40.0,80.0,3.317915
-40.0,90.0,3.3306518
-40.0,100.0,3.37693
-40.0,110.0,3.345251
-40.0,120.0,3.331343
-40.0,130.0,3.3230488
-40.0,140.0,3.3103635
-40.0,150.0,3.240051
-40.0,160.0,3.122654
-40.0,170.0,3.0288348
-35.0,-179.99999,2.5517116
-35.0,-170.0,2.409489
-35.0,-160.0,2.3063636
-35.0,-150.0,2.1871967
-35.0,-140.0,2.0870523
-35.0,-130.0,1.9697158
-35.0,-120.0,1.8249978
-35.0,-110.0,1.7211819
-35.0,-100.0,1.6810648
-35.0,-90.0,1.7410374
-35.0,-80.0,1.7737908
-35.0,-70.0,1.8594031
-35.0,-60.0,2.005034
-35.0,-50.0,2.1237938
-35.0,-40.0,2.2809906
-35.0,-30.0,2.429912
-35.0,-20.0,2.559491
-35.0,-10.0,2.6720216
-35.0,0.0,2.7769535
-35.0,10.0,2.8186197
-35.0,20.0,2.8324842
-35.0,30.0,2.8212545
-35.0,40.0,2.8235173
-35.0,50.0,2.8484828
-35.0,60.0,2.8793323
-35.0,70.0,2.9190807
-35.0,80.0,2.9982262
-35.0,90.0,3.0349908
-35.0,100.0,3.053217
-35.0,110.0,3.0604124
-35.0,120.0,3.0575237
-35.0,130.0,3.0120497
-35.0,140.0,2.9631903
-35.0,150.0,2.8928256
-35.0,160.0,2.7708037
-35.0,170.0,2.6606987
-30.0,-179.99999,2.1457531
-30.0,-170.0,2.0365155
-30.0,-160.0,1.9587758
-30.0,-150.0,1.9117157
-30.0,-140.0,1.8147609
-30.0,-130.0,1.7031956
-30.0,-120.0,1.6216211
-30.0,-110.0,1.6134391
-30.0,-100.0,1.6198285
-30.0,-90.0,1.6539981
-30.0,-80.0,1.6879661
-30.0,-70.0,1.7414641
-30.0,-60.0,1.828153
-30.0,-50.0,1.94773
-30.0,-40.0,2.1073928
-30.0,-30.0,2.2525687
-30.0,-20.0,2.3622868
-30.0,-10.0,2.4503825
-30.0,0.0,2.5214682
-30.0,10.0,2.538629
-30.0,20.0,2.52732
-30.0,30.0,2.5293064
-30.0,40.0,2.4888217
-30.0,50.0,2.5154912
-30.0,60.0,2.532123
-30.0,70.0,2.5781991
-30.0,80.0,2.5977
-30.0,90.0,2.6170352
-30.0,100.0,2.6224155
-30.0,110.0,2.6471734
-30.0,120.0,2.6100593
-30.0,130.0,2.5750246
-30.0,140.0,2.5453353
-30.0,150.0,2.4875937
-30.0,160.0,2.3958306
-30.0,170.0,2.267396
-25.0,-179.99999,1.7966092
-25.0,-170.0,1.7274518
-25.0,-160.0,1.671735
-25.0,-150.0,1.6381005
