n_points,n_peaks,h_star_km,pf_soft_ok,osc_metric,dose_max_uSvph,lat_deg,lon_deg,date
3,0,9.99987840004,False,0.0,3.4432,-70.0,-90.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4342,-70.0,-80.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4342,-70.0,-70.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4327,-70.0,-60.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4429,-70.0,-50.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4475,-70.0,-40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4539,-70.0,-30.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4598,-70.0,-20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4619,-70.0,-10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4626,-70.0,0.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4628,-70.0,10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,30.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,50.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,60.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,70.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,80.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,90.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,100.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,110.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,120.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,130.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,140.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,150.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,160.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-70.0,170.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,-179.99999,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,-170.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,-160.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4628,-65.0,-150.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4619,-65.0,-140.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4579,-65.0,-130.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4375,-65.0,-120.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4072,-65.0,-110.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3731,-65.0,-100.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3226,-65.0,-90.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3032,-65.0,-80.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3002,-65.0,-70.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3128,-65.0,-60.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3497,-65.0,-50.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3802,-65.0,-40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4129,-65.0,-30.0,2002/01/00
3,0,9.99987840004,False,0.0,3.436,-65.0,-20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4495,-65.0,-10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4582,-65.0,0.0,2002/01/00
