source_file,lat_deg,lon_deg,h_km,date,hour,vcr_GV,particle,dose_rate_uSvph,sigma,unit_text,quantity_text
L0000.ANS,-75.0,-170.0,8.000085600032,2002/01/00,0,0.06,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-160.0,8.000085600032,2002/01/00,0,0.1,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-150.0,8.000085600032,2002/01/00,0,0.21,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-140.0,8.000085600032,2002/01/00,0,0.28,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-130.0,8.000085600032,2002/01/00,0,0.4,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-120.0,8.000085600032,2002/01/00,0,0.5,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-110.0,8.000085600032,2002/01/00,0,0.62,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-100.0,8.000085600032,2002/01/00,0,0.73,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-90.0,8.000085600032,2002/01/00,0,0.81,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-80.0,8.000085600032,2002/01/00,0,0.87,TOTAL,1.8426,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-70.0,8.000085600032,2002/01/00,0,0.9,TOTAL,1.8426,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-60.0,8.000085600032,2002/01/00,0,0.93,TOTAL,1.8425,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-50.0,8.000085600032,2002/01/00,0,0.89,TOTAL,1.8426,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-40.0,8.000085600032,2002/01/00,0,0.82,TOTAL,1.8426,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
