lat_deg,lon_deg,h_km,dose_uSvph
-80.0,-180.0,22.0,16.352327
-80.0,-178.0,22.0,16.1918
-80.0,-176.0,22.0,16.044733
-80.0,-174.0,22.0,16.381348
-80.0,-172.0,22.0,16.832893
-80.0,-170.0,22.0,16.326456
-80.0,-168.0,22.0,16.083508
-80.0,-166.0,22.0,16.299992
-80.0,-164.0,22.0,16.28395
-80.0,-162.0,22.0,16.105177
-80.0,-160.0,22.0,16.416597
-80.0,-158.0,22.0,16.943663
-80.0,-156.0,22.0,16.686491
-80.0,-154.0,22.0,16.445751
-80.0,-152.0,22.0,16.447187
-80.0,-150.0,22.0,16.396719
-80.0,-148.0,22.0,15.753043
-80.0,-146.0,22.0,15.589896
-80.0,-144.0,22.0,15.710293
-80.0,-142.0,22.0,16.165886
-80.0,-140.0,22.0,16.363337
-80.0,-138.0,22.0,16.040808
-80.0,-136.0,22.0,15.456951
-80.0,-134.0,22.0,15.52161
-80.0,-132.0,22.0,15.934024
-80.0,-130.0,22.0,16.38073
-80.0,-128.0,22.0,16.25799
-80.0,-126.0,22.0,15.985412
-80.0,-124.0,22.0,15.829358
-80.0,-122.0,22.0,16.065863
-80.0,-120.0,22.0,16.33925
-80.0,-118.0,22.0,16.262953
-80.0,-116.0,22.0,15.603212
-80.0,-114.0,22.0,16.02726
-80.0,-112.0,22.0,16.531105
-80.0,-110.0,22.0,16.377254
-80.0,-108.0,22.0,15.957097
-80.0,-106.0,22.0,15.9025545
-80.0,-104.0,22.0,16.226252
-80.0,-102.0,22.0,16.102589
-80.0,-100.0,22.0,16.331633
-80.0,-98.0,22.0,17.191784
-80.0,-96.0,22.0,17.341326
-80.0,-94.0,22.0,16.682024
-80.0,-92.0,22.0,16.331373
-80.0,-90.0,22.0,16.322151
-80.0,-88.0,22.0,15.885377
-80.0,-86.0,22.0,15.739427
-80.0,-84.0,22.0,16.389149
-80.0,-82.0,22.0,16.83126
-80.0,-80.0,22.0,16.373373
-80.0,-78.0,22.0,15.792322
-80.0,-76.0,22.0,15.97768
-80.0,-74.0,22.0,15.834349
-80.0,-72.0,22.0,15.79799
-80.0,-70.0,22.0,16.346834
-80.0,-68.0,22.0,17.166203
-80.0,-66.0,22.0,16.95754
-80.0,-64.0,22.0,16.229858
-80.0,-62.0,22.0,16.15133
-80.0,-60.0,22.0,16.380842
-80.0,-58.0,22.0,15.944292
-80.0,-56.0,22.0,15.259661
-80.0,-54.0,22.0,15.570822
-80.0,-52.0,22.0,16.308432
-80.0,-50.0,22.0,16.390509
-80.0,-48.0,22.0,16.22366
-80.0,-46.0,22.0,15.969268
-80.0,-44.0,22.0,15.996247
-80.0,-42.0,22.0,16.074978
-80.0,-40.0,22.0,16.306133
-80.0,-38.0,22.0,16.443623
-80.0,-36.0,22.0,16.263742
-80.0,-34.0,22.0,16.023252
-80.0,-32.0,22.0,16.249239
-80.0,-30.0,22.0,16.339941
-80.0,-28.0,22.0,16.813925
-80.0,-26.0,22.0,16.82986
-80.0,-24.0,22.0,16.593784
-80.0,-22.0,22.0,16.543413
-80.0,-20.0,22.0,16.329664
-80.0,-18.0,22.0,16.99555
-80.0,-16.0,22.0,17.206251
-80.0,-14.0,22.0,16.560793
-80.0,-12.0,22.0,16.09719
-80.0,-10.0,22.0,16.336708
-80.0,-8.0,22.0,16.543257
-80.0,-6.0,22.0,16.3122
-80.0,-4.0,22.0,16.503342
-80.0,-2.0,22.0,16.911472
-80.0,0.0,22.0,16.345158
-80.0,2.0,22.0,15.863214
-80.0,4.0,22.0,15.816709
-80.0,6.0,22.0,16.046427
-80.0,8.0,22.0,16.060425
-80.0,10.0,22.0,16.411213
-80.0,12.0,22.0,17.265442
-80.0,14.0,22.0,16.953093
-80.0,16.0,22.0,16.390059
-80.0,18.0,22.0,16.25823
-80.0,20.0,22.0,16.405298
-80.0,22.0,22.0,16.670666
-80.0,24.0,22.0,17.001204
-80.0,26.0,22.0,17.512299
-80.0,28.0,22.0,17.37723
-80.0,30.0,22.0,16.366598
-80.0,32.0,22.0,15.18636
-80.0,34.0,22.0,15.01035
-80.0,36.0,22.0,15.566423
-80.0,38.0,22.0,15.986216
-80.0,40.0,22.0,16.320269
-80.0,42.0,22.0,16.935326
-80.0,44.0,22.0,17.506308
-80.0,46.0,22.0,17.69939
-80.0,48.0,22.0,17.44305
-80.0,50.0,22.0,16.388475
-80.0,52.0,22.0,15.446905
-80.0,54.0,22.0,15.327872
-80.0,56.0,22.0,15.225072
-80.0,58.0,22.0,15.570079
-80.0,60.0,22.0,16.37511
-80.0,62.0,22.0,17.067932
-80.0,64.0,22.0,17.060877
-80.0,66.0,22.0,17.049515
-80.0,68.0,22.0,16.803053
-80.0,70.0,22.0,16.364737
-80.0,72.0,22.0,15.80725
-80.0,74.0,22.0,16.14447
-80.0,76.0,22.0,16.451324
-80.0,78.0,22.0,16.617823
-80.0,80.0,22.0,16.325155
-80.0,82.0,22.0,16.270042
-80.0,84.0,22.0,16.420708
-80.0,86.0,22.0,16.180002
