lat_deg,lon_deg,h_km,dose_uSvph
-80.0,-180.0,20.0,14.021359
-80.0,-178.0,20.0,13.9256315
-80.0,-176.0,20.0,13.74579
-80.0,-174.0,20.0,14.007813
-80.0,-172.0,20.0,14.365339
-80.0,-170.0,20.0,13.989344
-80.0,-168.0,20.0,13.802215
-80.0,-166.0,20.0,14.007894
-80.0,-164.0,20.0,13.982581
-80.0,-162.0,20.0,13.840875
-80.0,-160.0,20.0,14.057664
-80.0,-158.0,20.0,14.465032
-80.0,-156.0,20.0,14.293237
-80.0,-154.0,20.0,14.022343
-80.0,-152.0,20.0,14.030893
-80.0,-150.0,20.0,14.0557375
-80.0,-148.0,20.0,13.488627
-80.0,-146.0,20.0,13.22378
-80.0,-144.0,20.0,13.415103
-80.0,-142.0,20.0,13.830699
-80.0,-140.0,20.0,14.081692
-80.0,-138.0,20.0,13.85534
-80.0,-136.0,20.0,13.448995
-80.0,-134.0,20.0,13.390645
-80.0,-132.0,20.0,13.6695595
-80.0,-130.0,20.0,14.055117
-80.0,-128.0,20.0,13.985182
-80.0,-126.0,20.0,13.679011
-80.0,-124.0,20.0,13.524069
-80.0,-122.0,20.0,13.764722
-80.0,-120.0,20.0,14.0258
-80.0,-118.0,20.0,13.984235
-80.0,-116.0,20.0,13.351211
-80.0,-114.0,20.0,13.70346
-80.0,-112.0,20.0,14.157374
-80.0,-110.0,20.0,14.017516
-80.0,-108.0,20.0,13.661509
-80.0,-106.0,20.0,13.648695
-80.0,-104.0,20.0,13.929271
-80.0,-102.0,20.0,13.809469
-80.0,-100.0,20.0,13.99585
-80.0,-98.0,20.0,14.719147
-80.0,-96.0,20.0,14.887433
-80.0,-94.0,20.0,14.281485
-80.0,-92.0,20.0,13.956882
-80.0,-90.0,20.0,13.991482
-80.0,-88.0,20.0,13.623012
-80.0,-86.0,20.0,13.49324
-80.0,-84.0,20.0,14.041723
-80.0,-82.0,20.0,14.416372
-80.0,-80.0,20.0,13.991348
-80.0,-78.0,20.0,13.501394
-80.0,-76.0,20.0,13.723758
-80.0,-74.0,20.0,13.583645
-80.0,-72.0,20.0,13.5536785
-80.0,-70.0,20.0,14.039423
-80.0,-68.0,20.0,14.714287
-80.0,-66.0,20.0,14.491666
-80.0,-64.0,20.0,13.844724
-80.0,-62.0,20.0,13.7753725
-80.0,-60.0,20.0,14.000251
-80.0,-58.0,20.0,13.6335945
-80.0,-56.0,20.0,13.071263
-80.0,-54.0,20.0,13.335943
-80.0,-52.0,20.0,13.967092
-80.0,-50.0,20.0,14.042543
-80.0,-48.0,20.0,13.877728
-80.0,-46.0,20.0,13.636205
-80.0,-44.0,20.0,13.694987
-80.0,-42.0,20.0,13.775766
-80.0,-40.0,20.0,13.994481
-80.0,-38.0,20.0,14.085305
-80.0,-36.0,20.0,13.941006
-80.0,-34.0,20.0,13.6988735
-80.0,-32.0,20.0,13.94804
-80.0,-30.0,20.0,14.001443
-80.0,-28.0,20.0,14.375816
-80.0,-26.0,20.0,14.456998
-80.0,-24.0,20.0,14.264075
-80.0,-22.0,20.0,14.218733
-80.0,-20.0,20.0,13.996126
-80.0,-18.0,20.0,14.538403
-80.0,-16.0,20.0,14.71046
-80.0,-14.0,20.0,14.156537
-80.0,-12.0,20.0,13.806322
-80.0,-10.0,20.0,14.02483
-80.0,-8.0,20.0,14.169491
-80.0,-6.0,20.0,13.967364
-80.0,-4.0,20.0,14.13197
-80.0,-2.0,20.0,14.481208
-80.0,0.0,20.0,14.012417
-80.0,2.0,20.0,13.63999
-80.0,4.0,20.0,13.535123
-80.0,6.0,20.0,13.774322
-80.0,8.0,20.0,13.876018
-80.0,10.0,20.0,14.051881
-80.0,12.0,20.0,14.809599
-80.0,14.0,20.0,14.551395
-80.0,16.0,20.0,14.067669
-80.0,18.0,20.0,13.925399
-80.0,20.0,20.0,14.050624
-80.0,22.0,20.0,14.159403
-80.0,24.0,20.0,14.447977
-80.0,26.0,20.0,14.86608
-80.0,28.0,20.0,14.716002
-80.0,30.0,20.0,13.993597
-80.0,32.0,20.0,13.063767
-80.0,34.0,20.0,12.882725
-80.0,36.0,20.0,13.391791
-80.0,38.0,20.0,13.723564
-80.0,40.0,20.0,13.958769
-80.0,42.0,20.0,14.400052
-80.0,44.0,20.0,14.871986
-80.0,46.0,20.0,15.026019
-80.0,48.0,20.0,14.817743
-80.0,50.0,20.0,14.024368
-80.0,52.0,20.0,13.237893
-80.0,54.0,20.0,13.198361
-80.0,56.0,20.0,13.106039
-80.0,58.0,20.0,13.340574
-80.0,60.0,20.0,14.020811
