lat_deg,lon_deg,h_km,dose_uSvph
-80.0,-180.0,8.0,1.8426402
-80.0,-178.0,8.0,1.9250957
-80.0,-176.0,8.0,1.8867012
-80.0,-174.0,8.0,1.8165876
-80.0,-172.0,8.0,1.8066081
-80.0,-170.0,8.0,1.8429137
-80.0,-168.0,8.0,1.8328155
-80.0,-166.0,8.0,1.8601499
-80.0,-164.0,8.0,1.9467686
-80.0,-162.0,8.0,1.8894562
-80.0,-160.0,8.0,1.8423371
-80.0,-158.0,8.0,1.8215576
-80.0,-156.0,8.0,1.8318443
-80.0,-154.0,8.0,1.8382404
-80.0,-152.0,8.0,1.8134593
-80.0,-150.0,8.0,1.8366209
-80.0,-148.0,8.0,1.8731363
-80.0,-146.0,8.0,1.8534224
-80.0,-144.0,8.0,1.8377786
-80.0,-142.0,8.0,1.8279173
-80.0,-140.0,8.0,1.8455311
-80.0,-138.0,8.0,1.8528476
-80.0,-136.0,8.0,1.8360751
-80.0,-134.0,8.0,1.8118776
-80.0,-132.0,8.0,1.7744303
-80.0,-130.0,8.0,1.8384855
-80.0,-128.0,8.0,1.9063683
-80.0,-126.0,8.0,1.8587236
-80.0,-124.0,8.0,1.8330489
-80.0,-122.0,8.0,1.8250389
-80.0,-120.0,8.0,1.8448664
-80.0,-118.0,8.0,1.8375163
-80.0,-116.0,8.0,1.7660772
-80.0,-114.0,8.0,1.8221232
-80.0,-112.0,8.0,1.8463001
-80.0,-110.0,8.0,1.8505588
-80.0,-108.0,8.0,1.8948565
-80.0,-106.0,8.0,1.9481457
-80.0,-104.0,8.0,1.8907353
-80.0,-102.0,8.0,1.8278245
-80.0,-100.0,8.0,1.8473624
-80.0,-98.0,8.0,1.8866003
-80.0,-96.0,8.0,1.906482
-80.0,-94.0,8.0,1.8446289
-80.0,-92.0,8.0,1.8570719
-80.0,-90.0,8.0,1.8392248
-80.0,-88.0,8.0,1.7734736
-80.0,-86.0,8.0,1.7815233
-80.0,-84.0,8.0,1.8111174
-80.0,-82.0,8.0,1.8392612
-80.0,-80.0,8.0,1.839126
-80.0,-78.0,8.0,1.873401
-80.0,-76.0,8.0,1.8781232
-80.0,-74.0,8.0,1.7963194
-80.0,-72.0,8.0,1.8095127
-80.0,-70.0,8.0,1.8442215
-80.0,-68.0,8.0,1.8662823
-80.0,-66.0,8.0,1.911352
-80.0,-64.0,8.0,1.8804458
-80.0,-62.0,8.0,1.818515
-80.0,-60.0,8.0,1.8417599
-80.0,-58.0,8.0,1.8480579
-80.0,-56.0,8.0,1.810208
-80.0,-54.0,8.0,1.7974606
-80.0,-52.0,8.0,1.8392972
-80.0,-50.0,8.0,1.8442639
-80.0,-48.0,8.0,1.8272494
-80.0,-46.0,8.0,1.8460592
-80.0,-44.0,8.0,1.8695751
-80.0,-42.0,8.0,1.8633053
-80.0,-40.0,8.0,1.8434827
-80.0,-38.0,8.0,1.8680191
-80.0,-36.0,8.0,1.8321677
-80.0,-34.0,8.0,1.8358532
-80.0,-32.0,8.0,1.862878
-80.0,-30.0,8.0,1.8394302
-80.0,-28.0,8.0,1.8539352
-80.0,-26.0,8.0,1.897612
-80.0,-24.0,8.0,1.8917572
-80.0,-22.0,8.0,1.8468032
-80.0,-20.0,8.0,1.839989
-80.0,-18.0,8.0,1.9141259
-80.0,-16.0,8.0,1.9948763
-80.0,-14.0,8.0,1.884272
-80.0,-12.0,8.0,1.8453808
-80.0,-10.0,8.0,1.8385696
-80.0,-8.0,8.0,1.8058455
-80.0,-6.0,8.0,1.8074627
-80.0,-4.0,8.0,1.8538147
-80.0,-2.0,8.0,1.9251251
-80.0,0.0,8.0,1.8383315
-80.0,2.0,8.0,1.8365537
-80.0,4.0,8.0,1.8191825
-80.0,6.0,8.0,1.7700777
-80.0,8.0,8.0,1.7972932
-80.0,10.0,8.0,1.8427404
-80.0,12.0,8.0,1.9180835
-80.0,14.0,8.0,1.8914628
-80.0,16.0,8.0,1.8584108
-80.0,18.0,8.0,1.8389919
-80.0,20.0,8.0,1.8424292
-80.0,22.0,8.0,1.8752729
-80.0,24.0,8.0,1.939822
-80.0,26.0,8.0,1.9585664
-80.0,28.0,8.0,1.9642745
-80.0,30.0,8.0,1.8409531
-80.0,32.0,8.0,1.7689639
-80.0,34.0,8.0,1.748385
-80.0,36.0,8.0,1.7629316
-80.0,38.0,8.0,1.7832246
-80.0,40.0,8.0,1.8396647
-80.0,42.0,8.0,1.9349672
-80.0,44.0,8.0,1.9939653
-80.0,46.0,8.0,1.9779279
-80.0,48.0,8.0,1.8734126
-80.0,50.0,8.0,1.841857
-80.0,52.0,8.0,1.8675781
-80.0,54.0,8.0,1.8264198
-80.0,56.0,8.0,1.7395712
