lat_deg,lon_deg,h_km,dose_uSvph
-80.0,-180.0,18.0,11.752548
-80.0,-178.0,18.0,11.726439
-80.0,-176.0,18.0,11.547633
-80.0,-174.0,18.0,11.7390785
-80.0,-172.0,18.0,11.955642
-80.0,-170.0,18.0,11.716285
-80.0,-168.0,18.0,11.587629
-80.0,-166.0,18.0,11.736213
-80.0,-164.0,18.0,11.72595
-80.0,-162.0,18.0,11.677457
-80.0,-160.0,18.0,11.766533
-80.0,-158.0,18.0,11.998415
-80.0,-156.0,18.0,11.857849
-80.0,-154.0,18.0,11.61474
-80.0,-152.0,18.0,11.603802
-80.0,-150.0,18.0,11.7061825
-80.0,-148.0,18.0,11.41636
-80.0,-146.0,18.0,11.096784
-80.0,-144.0,18.0,11.17098
-80.0,-142.0,18.0,11.518495
-80.0,-140.0,18.0,11.744215
-80.0,-138.0,18.0,11.647952
-80.0,-136.0,18.0,11.339706
-80.0,-134.0,18.0,11.236025
-80.0,-132.0,18.0,11.40928
-80.0,-130.0,18.0,11.74046
-80.0,-128.0,18.0,11.705113
-80.0,-126.0,18.0,11.491824
-80.0,-124.0,18.0,11.281026
-80.0,-122.0,18.0,11.418606
-80.0,-120.0,18.0,11.7065
-80.0,-118.0,18.0,11.691071
-80.0,-116.0,18.0,11.1631975
-80.0,-114.0,18.0,11.416937
-80.0,-112.0,18.0,11.847456
-80.0,-110.0,18.0,11.735848
-80.0,-108.0,18.0,11.437662
-80.0,-106.0,18.0,11.48064
-80.0,-104.0,18.0,11.727782
-80.0,-102.0,18.0,11.640603
-80.0,-100.0,18.0,11.739439
-80.0,-98.0,18.0,12.3408
-80.0,-96.0,18.0,12.448606
-80.0,-94.0,18.0,11.9484415
-80.0,-92.0,18.0,11.673568
-80.0,-90.0,18.0,11.771205
-80.0,-88.0,18.0,11.4690895
-80.0,-86.0,18.0,11.278941
-80.0,-84.0,18.0,11.741387
-80.0,-82.0,18.0,12.097639
-80.0,-80.0,18.0,11.723097
-80.0,-78.0,18.0,11.343143
-80.0,-76.0,18.0,11.557748
-80.0,-74.0,18.0,11.434321
-80.0,-72.0,18.0,11.389872
-80.0,-70.0,18.0,11.7432575
-80.0,-68.0,18.0,12.303331
-80.0,-66.0,18.0,12.118562
-80.0,-64.0,18.0,11.518684
-80.0,-62.0,18.0,11.435612
-80.0,-60.0,18.0,11.726238
-80.0,-58.0,18.0,11.363087
-80.0,-56.0,18.0,10.912808
-80.0,-54.0,18.0,11.09316
-80.0,-52.0,18.0,11.624955
-80.0,-50.0,18.0,11.720721
-80.0,-48.0,18.0,11.5364275
-80.0,-46.0,18.0,11.352169
-80.0,-44.0,18.0,11.443714
-80.0,-42.0,18.0,11.5292015
-80.0,-40.0,18.0,11.727675
-80.0,-38.0,18.0,11.794693
-80.0,-36.0,18.0,11.640545
-80.0,-34.0,18.0,11.455862
-80.0,-32.0,18.0,11.741486
-80.0,-30.0,18.0,11.712137
-80.0,-28.0,18.0,12.078603
-80.0,-26.0,18.0,12.210264
-80.0,-24.0,18.0,12.077462
-80.0,-22.0,18.0,11.922171
-80.0,-20.0,18.0,11.757868
-80.0,-18.0,18.0,12.116181
-80.0,-16.0,18.0,12.263908
-80.0,-14.0,18.0,11.786797
-80.0,-12.0,18.0,11.6017885
-80.0,-10.0,18.0,11.719665
-80.0,-8.0,18.0,11.893278
-80.0,-6.0,18.0,11.686798
-80.0,-4.0,18.0,11.85775
-80.0,-2.0,18.0,12.073078
-80.0,0.0,18.0,11.726627
-80.0,2.0,18.0,11.423809
-80.0,4.0,18.0,11.229182
-80.0,6.0,18.0,11.510954
-80.0,8.0,18.0,11.626117
-80.0,10.0,18.0,11.753265
-80.0,12.0,18.0,12.361018
-80.0,14.0,18.0,12.152515
-80.0,16.0,18.0,11.874179
-80.0,18.0,18.0,11.681299
-80.0,20.0,18.0,11.753069
-80.0,22.0,18.0,11.792837
-80.0,24.0,18.0,12.1880455
-80.0,26.0,18.0,12.366819
-80.0,28.0,18.0,12.298471
-80.0,30.0,18.0,11.674456
-80.0,32.0,18.0,10.982126
-80.0,34.0,18.0,10.752984
-80.0,36.0,18.0,11.183513
-80.0,38.0,18.0,11.505019
-80.0,40.0,18.0,11.733789
-80.0,42.0,18.0,12.064233
-80.0,44.0,18.0,12.374113
-80.0,46.0,18.0,12.501715
-80.0,48.0,18.0,12.318973
-80.0,50.0,18.0,11.76467
-80.0,52.0,18.0,11.16283
-80.0,54.0,18.0,11.155535
-80.0,56.0,18.0,11.023774
-80.0,58.0,18.0,11.207939
-80.0,60.0,18.0,11.749122
