lat_deg,lon_deg,h_km,dose_uSvph
-80.0,-180.0,14.0,7.4299273
-80.0,-178.0,14.0,7.4269605
-80.0,-176.0,14.0,7.3661537
-80.0,-174.0,14.0,7.5901394
-80.0,-172.0,14.0,7.648579
-80.0,-170.0,14.0,7.4947395
-80.0,-168.0,14.0,7.515833
-80.0,-166.0,14.0,7.5795245
-80.0,-164.0,14.0,7.6236553
-80.0,-162.0,14.0,7.5577297
-80.0,-160.0,14.0,7.4592648
-80.0,-158.0,14.0,7.5367417
-80.0,-156.0,14.0,7.5374837
-80.0,-154.0,14.0,7.3474874
-80.0,-152.0,14.0,7.327502
-80.0,-150.0,14.0,7.4285545
-80.0,-148.0,14.0,7.442043
-80.0,-146.0,14.0,7.2003407
-80.0,-144.0,14.0,7.1244783
-80.0,-142.0,14.0,7.2658916
-80.0,-140.0,14.0,7.4632015
-80.0,-138.0,14.0,7.6267114
-80.0,-136.0,14.0,7.401788
-80.0,-134.0,14.0,7.099982
-80.0,-132.0,14.0,7.233389
-80.0,-130.0,14.0,7.47362
-80.0,-128.0,14.0,7.493523
-80.0,-126.0,14.0,7.3791614
-80.0,-124.0,14.0,7.2177324
-80.0,-122.0,14.0,7.157249
-80.0,-120.0,14.0,7.4358582
-80.0,-118.0,14.0,7.4267497
-80.0,-116.0,14.0,7.187802
-80.0,-114.0,14.0,7.278822
-80.0,-112.0,14.0,7.503311
-80.0,-110.0,14.0,7.4654655
-80.0,-108.0,14.0,7.2212143
-80.0,-106.0,14.0,7.3363686
-80.0,-104.0,14.0,7.5560975
-80.0,-102.0,14.0,7.428188
-80.0,-100.0,14.0,7.4744644
-80.0,-98.0,14.0,7.825429
-80.0,-96.0,14.0,7.928674
-80.0,-94.0,14.0,7.654824
-80.0,-92.0,14.0,7.418581
-80.0,-90.0,14.0,7.4543934
-80.0,-88.0,14.0,7.331944
-80.0,-86.0,14.0,7.1378536
-80.0,-84.0,14.0,7.332901
-80.0,-82.0,14.0,7.675839
-80.0,-80.0,14.0,7.4498916
-80.0,-78.0,14.0,7.2984705
-80.0,-76.0,14.0,7.4675126
-80.0,-74.0,14.0,7.3894067
-80.0,-72.0,14.0,7.3009
-80.0,-70.0,14.0,7.449588
-80.0,-68.0,14.0,7.803383
-80.0,-66.0,14.0,7.7662044
-80.0,-64.0,14.0,7.3757067
-80.0,-62.0,14.0,7.1829257
-80.0,-60.0,14.0,7.4481583
-80.0,-58.0,14.0,7.226151
-80.0,-56.0,14.0,6.913464
-80.0,-54.0,14.0,7.030746
-80.0,-52.0,14.0,7.42038
