lat_deg,lon_deg,h_km,dose_uSvph
-80.0,-180.0,16.0,9.520282
-80.0,-178.0,16.0,9.4672
-80.0,-176.0,16.0,9.343977
-80.0,-174.0,16.0,9.560893
-80.0,-172.0,16.0,9.720925
-80.0,-170.0,16.0,9.504378
-80.0,-168.0,16.0,9.483316
-80.0,-166.0,16.0,9.575666
-80.0,-164.0,16.0,9.591636
-80.0,-162.0,16.0,9.545869
-80.0,-160.0,16.0,9.536995
-80.0,-158.0,16.0,9.661297
-80.0,-156.0,16.0,9.622907
-80.0,-154.0,16.0,9.376333
-80.0,-152.0,16.0,9.347902
-80.0,-150.0,16.0,9.508662
-80.0,-148.0,16.0,9.423214
-80.0,-146.0,16.0,9.121706
-80.0,-144.0,16.0,9.132544
-80.0,-142.0,16.0,9.341334
-80.0,-140.0,16.0,9.519129
-80.0,-138.0,16.0,9.595856
-80.0,-136.0,16.0,9.390167
-80.0,-134.0,16.0,9.141871
-80.0,-132.0,16.0,9.265648
-80.0,-130.0,16.0,9.534003
-80.0,-128.0,16.0,9.533423
-80.0,-126.0,16.0,9.419627
-80.0,-124.0,16.0,9.222605
-80.0,-122.0,16.0,9.21987
-80.0,-120.0,16.0,9.503547
-80.0,-118.0,16.0,9.501094
-80.0,-116.0,16.0,9.122661
-80.0,-114.0,16.0,9.233306
-80.0,-112.0,16.0,9.585305
-80.0,-110.0,16.0,9.508633
-80.0,-108.0,16.0,9.250041
-80.0,-106.0,16.0,9.375362
-80.0,-104.0,16.0,9.573696
-80.0,-102.0,16.0,9.508379
-80.0,-100.0,16.0,9.540618
-80.0,-98.0,16.0,9.980286
-80.0,-96.0,16.0,10.026779
-80.0,-94.0,16.0,9.7412815
-80.0,-92.0,16.0,9.445851
-80.0,-90.0,16.0,9.541446
-80.0,-88.0,16.0,9.435482
-80.0,-86.0,16.0,9.135757
-80.0,-84.0,16.0,9.481972
-80.0,-82.0,16.0,9.8268
-80.0,-80.0,16.0,9.528577
-80.0,-78.0,16.0,9.243088
-80.0,-76.0,16.0,9.475402
-80.0,-74.0,16.0,9.38168
-80.0,-72.0,16.0,9.306268
-80.0,-70.0,16.0,9.540834
-80.0,-68.0,16.0,9.939917
-80.0,-66.0,16.0,9.830564
-80.0,-64.0,16.0,9.343119
-80.0,-62.0,16.0,9.163768
-80.0,-60.0,16.0,9.501007
-80.0,-58.0,16.0,9.236893
-80.0,-56.0,16.0,8.844416
