lat_deg,lon_deg,h_km,dose_uSvph
-80.0,-180.0,10.0,3.4736006
-80.0,-178.0,10.0,3.5076578
-80.0,-176.0,10.0,3.5169642
-80.0,-174.0,10.0,3.6088881
-80.0,-172.0,10.0,3.5566673
-80.0,-170.0,10.0,3.454495
-80.0,-168.0,10.0,3.4361987
-80.0,-166.0,10.0,3.4891253
-80.0,-164.0,10.0,3.557155
-80.0,-162.0,10.0,3.4412777
-80.0,-160.0,10.0,3.4678168
-80.0,-158.0,10.0,3.5126348
-80.0,-156.0,10.0,3.5018098
-80.0,-154.0,10.0,3.44055
-80.0,-152.0,10.0,3.4531436
-80.0,-150.0,10.0,3.4583623
-80.0,-148.0,10.0,3.468571
-80.0,-146.0,10.0,3.385544
-80.0,-144.0,10.0,3.3192096
-80.0,-142.0,10.0,3.4041057
-80.0,-140.0,10.0,3.466204
-80.0,-138.0,10.0,3.533672
-80.0,-136.0,10.0,3.4442408
-80.0,-134.0,10.0,3.3324997
-80.0,-132.0,10.0,3.3278732
-80.0,-130.0,10.0,3.4602394
-80.0,-128.0,10.0,3.5301933
-80.0,-126.0,10.0,3.4297056
-80.0,-124.0,10.0,3.3338225
-80.0,-122.0,10.0,3.3316188
-80.0,-120.0,10.0,3.4532864
-80.0,-118.0,10.0,3.4607468
-80.0,-116.0,10.0,3.2639995
-80.0,-114.0,10.0,3.2731192
-80.0,-112.0,10.0,3.3863525
-80.0,-110.0,10.0,3.4620116
-80.0,-108.0,10.0,3.39285
-80.0,-106.0,10.0,3.443919
-80.0,-104.0,10.0,3.5910099
-80.0,-102.0,10.0,3.480055
-80.0,-100.0,10.0,3.4612222
-80.0,-98.0,10.0,3.633109
-80.0,-96.0,10.0,3.7301567
-80.0,-94.0,10.0,3.5347354
-80.0,-92.0,10.0,3.4189816
-80.0,-90.0,10.0,3.4618766
-80.0,-88.0,10.0,3.3716664
-80.0,-86.0,10.0,3.265877
-80.0,-84.0,10.0,3.4542878
-80.0,-82.0,10.0,3.5879765
-80.0,-80.0,10.0,3.4550195
-80.0,-78.0,10.0,3.4002824
-80.0,-76.0,10.0,3.554104
-80.0,-74.0,10.0,3.4711728
-80.0,-72.0,10.0,3.3770144
-80.0,-70.0,10.0,3.463863
-80.0,-68.0,10.0,3.5832114
-80.0,-66.0,10.0,3.6176863
-80.0,-64.0,10.0,3.4649937
-80.0,-62.0,10.0,3.388028
-80.0,-60.0,10.0,3.4595056
-80.0,-58.0,10.0,3.4336202
-80.0,-56.0,10.0,3.2363167
-80.0,-54.0,10.0,3.1933007
-80.0,-52.0,10.0,3.3158453
-80.0,-50.0,10.0,3.4549904
-80.0,-48.0,10.0,3.385613
-80.0,-46.0,10.0,3.3447988
-80.0,-44.0,10.0,3.4034686
-80.0,-42.0,10.0,3.4300034
-80.0,-40.0,10.0,3.4539554
-80.0,-38.0,10.0,3.4864943
-80.0,-36.0,10.0,3.42074
-80.0,-34.0,10.0,3.3712444
-80.0,-32.0,10.0,3.4367926
-80.0,-30.0,10.0,3.4578514
-80.0,-28.0,10.0,3.5687401
-80.0,-26.0,10.0,3.6735563
-80.0,-24.0,10.0,3.5912187
-80.0,-22.0,10.0,3.4414873
-80.0,-20.0,10.0,3.454249
-80.0,-18.0,10.0,3.5092726
-80.0,-16.0,10.0,3.5451443
-80.0,-14.0,10.0,3.4752138
-80.0,-12.0,10.0,3.495885
-80.0,-10.0,10.0,3.4615183
-80.0,-8.0,10.0,3.4590385
-80.0,-6.0,10.0,3.5333047
-80.0,-4.0,10.0,3.526527
-80.0,-2.0,10.0,3.5413318
-80.0,0.0,10.0,3.4598134
-80.0,2.0,10.0,3.5329666
-80.0,4.0,10.0,3.4922554
-80.0,6.0,10.0,3.353919
-80.0,8.0,10.0,3.40468
-80.0,10.0,10.0,3.4637854
-80.0,12.0,10.0,3.508446
-80.0,14.0,10.0,3.5267048
-80.0,16.0,10.0,3.5768905
-80.0,18.0,10.0,3.5772896
-80.0,20.0,10.0,3.4554129
-80.0,22.0,10.0,3.4580016
-80.0,24.0,10.0,3.6266124
-80.0,26.0,10.0,3.7367644
-80.0,28.0,10.0,3.721116
-80.0,30.0,10.0,3.4674354
-80.0,32.0,10.0,3.3109336
-80.0,34.0,10.0,3.3060637
-80.0,36.0,10.0,3.300598
-80.0,38.0,10.0,3.4022415
-80.0,40.0,10.0,3.4585102
