lat_deg,lon_deg,h_km,dose_uSvph
-80.0,108.0,12.0,5.5456476
-80.0,110.0,12.0,5.449581
-80.0,112.0,12.0,5.396121
-80.0,114.0,12.0,5.5307117
-80.0,116.0,12.0,5.5810347
-80.0,118.0,12.0,5.583066
-80.0,120.0,12.0,5.442629
-80.0,122.0,12.0,5.4431205
-80.0,124.0,12.0,5.4461007
-80.0,126.0,12.0,5.462312
-80.0,128.0,12.0,5.3761816
-80.0,130.0,12.0,5.42923
-80.0,132.0,12.0,5.60102
-80.0,134.0,12.0,5.7860904
-80.0,136.0,12.0,5.7850695
-80.0,138.0,12.0,5.5761395
-80.0,140.0,12.0,5.4405074
-80.0,142.0,12.0,5.4354367
-80.0,144.0,12.0,5.5266123
-80.0,146.0,12.0,5.5368667
-80.0,148.0,12.0,5.4959908
-80.0,150.0,12.0,5.4598727
-80.0,152.0,12.0,5.4486933
-80.0,154.0,12.0,5.4616637
-80.0,156.0,12.0,5.5577025
-80.0,158.0,12.0,5.541843
-80.0,160.0,12.0,5.427971
-80.0,162.0,12.0,5.4163585
-80.0,164.0,12.0,5.3917685
-80.0,166.0,12.0,5.5681424
-80.0,168.0,12.0,5.5374475
-80.0,170.0,12.0,5.438553
-80.0,172.0,12.0,5.5315504
-80.0,174.0,12.0,5.481147
-80.0,176.0,12.0,5.394245
-80.0,178.0,12.0,5.4908085
-80.0,180.0,12.0,5.4251904
-78.0,-180.0,12.0,5.623026
-78.0,-178.0,12.0,5.545634
-78.0,-176.0,12.0,5.6462293
-78.0,-174.0,12.0,5.818284
-78.0,-172.0,12.0,5.8313093
-78.0,-170.0,12.0,5.7234993
-78.0,-168.0,12.0,5.6811633
-78.0,-166.0,12.0,5.666169
-78.0,-164.0,12.0,5.716694
-78.0,-162.0,12.0,5.5917306
-78.0,-160.0,12.0,5.725453
-78.0,-158.0,12.0,5.84358
-78.0,-156.0,12.0,5.7856517
-78.0,-154.0,12.0,5.6607633
-78.0,-152.0,12.0,5.609856
-78.0,-150.0,12.0,5.6558394
-78.0,-148.0,12.0,5.69038
-78.0,-146.0,12.0,5.5048866
-78.0,-144.0,12.0,5.41602
-78.0,-142.0,12.0,5.519898
-78.0,-140.0,12.0,5.559213
-78.0,-138.0,12.0,5.7075763
-78.0,-136.0,12.0,5.6745276
-78.0,-134.0,12.0,5.566211
-78.0,-132.0,12.0,5.5917253
-78.0,-130.0,12.0,5.6910734
-78.0,-128.0,12.0,5.7197995
-78.0,-126.0,12.0,5.6027093
-78.0,-124.0,12.0,5.5427904
-78.0,-122.0,12.0,5.4793234
-78.0,-120.0,12.0,5.610155
-78.0,-118.0,12.0,5.701758
-78.0,-116.0,12.0,5.685852
-78.0,-114.0,12.0,5.589182
-78.0,-112.0,12.0,5.5717607
-78.0,-110.0,12.0,5.600134
