h_km,mean_uSvph,std_uSvph,min_uSvph,max_uSvph,p50_uSvph,p90_uSvph
8.0,1.3979684620695203,0.4551028622455949,0.6376572847366333,2.4349453449249268,1.4866985082626343,1.926974892616272
10.0,2.622361292252639,0.9481520505347908,1.0959045886993408,4.942949295043945,2.712310314178467,3.774383068084717
12.0,3.8936261297792782,1.4795793606214718,1.553511619567871,7.272602081298828,3.9868557453155518,5.6874284744262695
14.0,5.168528646923869,2.1538684040133025,1.8537060022354126,10.104104995727539,5.258453845977783,7.82688045501709
16.0,6.298873831188115,2.9203770778999085,1.9905003309249878,12.82543659210205,6.249350070953369,9.947362899780273
18.0,7.448916742107437,3.8002493505678085,2.065779447555542,15.690315246582031,7.181336402893066,12.237744331359863
20.0,8.620291047512238,4.719826802012198,2.1055984497070312,18.703304290771484,8.149832725524902,14.609891891479492
22.0,9.806032014327325,5.664677895076397,2.2010180950164795,21.80753517150879,9.104327201843262,17.032743453979492
